subjID,TrialNum,List,ItemNum,Condition,TrialType,Sentence,Question,Literal_Answer,Response,
2120596786620860437,71,1,7,test,PO_implausible,The daughter passed the mother to the bowl.,Did the bowl receive something/someone?,Yes,,
2120596786620860437,72,1,11,test,passive_implausible,The woman was lost by the diamond.,Did the diamond lose something/someone?,Yes,,
2120596786620860437,73,1,1,test,active_implausible,The ball kicked the girl.,Did the girl kick something/someone?,No,,
2120596786620860437,74,1,17,test,active_implausible,The book purchased the aunt.,Did the aunt purchase something/someone?,No,,
2120596786620860437,75,0,9,filler_other,filler_plausible,A socialite was greeted by the butler with a plate of caviar.,Did the butler greet someone/something?,Yes,,
2120596786620860437,76,1,11,test,PO_implausible,The nephew mailed the aunt to the postcard.,Did the postcard receive something/someone?,Yes,,
2120596786620860437,77,1,15,test,PO_implausible,The car dealer leased the plumber to the SUV.,Did the SUV receive something/someone?,Yes,,
2120596786620860437,78,0,18,filler_other,filler_plausible,The principal commended a parent for her ability to motivate her child.,Was the parent commended by someone/something?,Yes,,
2120596786620860437,79,1,6,filler_control,passive_plausible,The blanket was folded by the daughter.,Did the blanket fold something/someone?,No,,
2120596786620860437,80,1,5,test,active_implausible,The table set the mother.,Did the mother set something/someone?,No,YES,
